,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2015-01-01,1013.9934320796378,74070.33220534388,-5444.246753386706,7328.321722033973,1013.9934320796378,1013.9934320796378,-0.027672272833503677,-0.027672272833503677,-0.027672272833503677,-0.001195441000002997,-0.001195441000002997,-0.001195441000002997,-0.026476831833500677,-0.026476831833500677,-0.026476831833500677,0.0,0.0,0.0,985.9339291757493
1,2015-01-02,1015.252234500965,74070.33220534388,-5432.794781186423,7297.51952557761,1015.252234500965,1015.252234500965,-0.025367446977568413,-0.025367446977568413,-0.025367446977568413,-0.0008595703835066772,-0.0008595703835066772,-0.0008595703835066772,-0.024507876594061735,-0.024507876594061735,-0.024507876594061735,0.0,0.0,0.0,989.4978772734039
2,2015-01-03,1016.5125778942997,74070.33220534388,-5172.593745561457,7184.166591141056,1016.5125778942997,1016.5125778942997,-0.023650084232270833,-0.023650084232270833,-0.023650084232270833,-0.00046484750459670297,-0.00046484750459670297,-0.00046484750459670297,-0.02318523672767413,-0.02318523672767413,-0.02318523672767413,0.0,0.0,0.0,992.4719698039368
3,2015-01-04,1017.7744640920181,74070.33220534388,-5194.235889065187,7041.65714306918,1017.7744640920181,1017.7744640920181,-0.021947198462805236,-0.021947198462805236,-0.021947198462805236,0.0006093948343992415,0.0006093948343992415,0.0006093948343992415,-0.02255659329720448,-0.02255659329720448,-0.02255659329720448,0.0,0.0,0.0,995.4371659382153
4,2015-01-05,1019.0378949285366,74070.33220534388,-5352.363566622426,6965.344953959898,1019.0378949285366,1019.0378949285366,-0.020407150853697632,-0.020407150853697632,-0.020407150853697632,0.002247795979745075,0.002247795979745075,0.002247795979745075,-0.022654946833442706,-0.022654946833442706,-0.022654946833442706,0.0,0.0,0.0,998.2422348810956
5,2015-01-06,1020.3028722403227,74070.33220534388,-4927.823359111176,7588.889142732048,1020.3028722403227,1020.3028722403227,-0.025230426124545922,-0.025230426124545922,-0.025230426124545922,-0.0017329910769062486,-0.0017329910769062486,-0.0017329910769062486,-0.023497435047639674,-0.023497435047639674,-0.023497435047639674,0.0,0.0,0.0,994.5601959976012
6,2015-01-07,1021.569397865888,74070.33220534388,-5311.368279092341,6941.455720007023,1021.569397865888,1021.569397865888,-0.023688838728739225,-0.023688838728739225,-0.023688838728739225,0.0013956591508817937,0.0013956591508817937,0.0013956591508817937,-0.02508449787962102,-0.02508449787962102,-0.02508449787962102,0.0,0.0,0.0,997.3696051496278
7,2015-01-08,1022.837473645798,74070.33220534388,-5528.101186032826,7166.201106157864,1022.837473645798,1022.837473645798,-0.02859485775372945,-0.02859485775372945,-0.02859485775372945,-0.0011954410000020964,-0.0011954410000020964,-0.0011954410000020964,-0.027399416753727354,-0.027399416753727354,-0.027399416753727354,0.0,0.0,0.0,993.5895815817124
8,2015-01-09,1024.1071014226704,74070.33220534388,-5423.602354887797,6794.556452832364,1024.1071014226704,1024.1071014226704,-0.03126781621089325,-0.03126781621089325,-0.03126781621089325,-0.0008595703834994382,-0.0008595703834994382,-0.0008595703834994382,-0.030408245827393814,-0.030408245827393814,-0.030408245827393814,0.0,0.0,0.0,992.0855087951157
9,2015-01-10,1025.3782830411753,74070.33220534388,-4839.247255937208,7328.260166656515,1025.3782830411753,1025.3782830411753,-0.03452499087049639,-0.03452499087049639,-0.03452499087049639,-0.0004648475046034053,-0.0004648475046034053,-0.0004648475046034053,-0.034060143365892984,-0.034060143365892984,-0.034060143365892984,0.0,0.0,0.0,989.9771071803734
10,2015-01-11,1026.6510203480393,74070.33220534388,-5178.660401261797,6610.603217171342,1026.6510203480393,1026.6510203480393,-0.037678706573549506,-0.037678706573549506,-0.037678706573549506,0.0006093948343979946,0.0006093948343979946,0.0006093948343979946,-0.0382881014079475,-0.0382881014079475,-0.0382881014079475,0.0,0.0,0.0,987.9681377989103
11,2015-01-12,1027.9253151920502,74070.33220534388,-5452.9287869278105,7076.681671497133,1027.9253151920502,1027.9253151920502,-0.040762265882780084,-0.040762265882780084,-0.040762265882780084,0.002247795979742509,0.002247795979742509,0.002247795979742509,-0.0430100618625226,-0.0430100618625226,-0.0430100618625226,0.0,0.0,0.0,986.0247501865514
12,2015-01-13,1029.201169424052,74070.33220534388,-5202.718055255649,6977.495682846333,1029.201169424052,1029.201169424052,-0.04986338843486047,-0.04986338843486047,-0.04986338843486047,-0.001732991076906951,-0.001732991076906951,-0.001732991076906951,-0.04813039735795352,-0.04813039735795352,-0.04813039735795352,0.0,0.0,0.0,977.8817117354479
13,2015-01-14,1030.478584896955,74070.33220534388,-5546.241601765367,7076.366744918928,1030.478584896955,1030.478584896955,-0.05214606665917115,-0.05214606665917115,-0.05214606665917115,0.0013956591508781143,0.0013956591508781143,0.0013956591508781143,-0.05354172581004926,-0.05354172581004926,-0.05354172581004926,0.0,0.0,0.0,976.74317991807
14,2015-01-15,1031.7575634657298,74070.33220534388,-5368.493607641606,6731.337408465663,1031.7575634657298,1031.7575634657298,-0.060322460035786694,-0.060322460035786694,-0.060322460035786694,-0.0011954410000011959,-0.0011954410000011959,-0.0011954410000011959,-0.059127019035785496,-0.059127019035785496,-0.059127019035785496,0.0,0.0,0.0,969.5194090769477
15,2015-01-16,1033.0381069874168,74070.33220534388,-5355.72696752363,7526.004182685518,1033.0381069874168,1033.0381069874168,-0.0656215284249531,-0.0656215284249531,-0.0656215284249531,-0.0008595703835122086,-0.0008595703835122086,-0.0008595703835122086,-0.06476195804144089,-0.06476195804144089,-0.06476195804144089,0.0,0.0,0.0,965.2485674856823
16,2015-01-17,1034.3202173211205,74070.33220534388,-5222.850741425199,6984.723543063831,1034.3202173211205,1034.3202173211205,-0.07078232857398331,-0.07078232857398331,-0.07078232857398331,-0.00046484750461422194,-0.00046484750461422194,-0.00046484750461422194,-0.0703174810693691,-0.0703174810693691,-0.0703174810693691,0.0,0.0,0.0,961.1086238479832
17,2015-01-18,1035.6038963280198,74070.33220534388,-5120.942405999263,7796.069774847666,1035.6038963280198,1035.6038963280198,-0.07505307043661878,-0.07505307043661878,-0.07505307043661878,0.0006093948344035839,0.0006093948344035839,0.0006093948344035839,-0.07566246527102237,-0.07566246527102237,-0.07566246527102237,0.0,0.0,0.0,957.8786441524761
18,2015-01-19,1036.889145871361,74070.33220534388,-5106.508895305651,7363.611051226515,1036.889145871361,1036.889145871361,-0.07841868315103827,-0.07841868315103827,-0.07841868315103827,0.002247795979742734,0.002247795979742734,0.002247795979742734,-0.080666479130781,-0.080666479130781,-0.080666479130781,0.0,0.0,0.0,955.5776644785241
19,2015-01-20,1038.1759678164688,74070.33220534388,-5374.640562235947,6891.449338584312,1038.1759678164688,1038.1759678164688,-0.08693553167665148,-0.08693553167665148,-0.08693553167665148,-0.0017329910769062883,-0.0017329910769062883,-0.0017329910769062883,-0.08520254059974519,-0.08520254059974519,-0.08520254059974519,0.0,0.0,0.0,947.9215880804219
20,2015-01-21,1039.46436403074,74070.33220534388,-5078.220066801664,7508.536244436162,1039.46436403074,1039.46436403074,-0.08775415622508446,-0.08775415622508446,-0.08775415622508446,0.0013956591508811518,0.0013956591508811518,0.0013956591508811518,-0.08914981537596561,-0.08914981537596561,-0.08914981537596561,0.0,0.0,0.0,948.2470458391783
21,2015-01-22,1040.7543363836521,74070.33220534388,-5981.921371078847,7661.22008192641,1040.7543363836521,1040.7543363836521,-0.09359163190852748,-0.09359163190852748,-0.09359163190852748,-0.0011954409999885415,-0.0011954409999885415,-0.0011954409999885415,-0.09239619090853894,-0.09239619090853894,-0.09239619090853894,0.0,0.0,0.0,943.3484396256296
22,2015-01-23,1042.0458867467612,74070.33220534388,-5337.96750934971,7343.317203384842,1042.0458867467612,1042.0458867467612,-0.09570023486764441,-0.09570023486764441,-0.09570023486764441,-0.0008595703835036251,-0.0008595703835036251,-0.0008595703835036251,-0.09484066448414079,-0.09484066448414079,-0.09484066448414079,0.0,0.0,0.0,942.3218506422334
23,2015-01-24,1043.3390169937036,74070.33220534388,-4899.700386534925,7167.896244599151,1043.3390169937036,1043.3390169937036,-0.09686033561535319,-0.09686033561535319,-0.09686033561535319,-0.000464847504610312,-0.000464847504610312,-0.000464847504610312,-0.09639548811074289,-0.09639548811074289,-0.09639548811074289,0.0,0.0,0.0,942.2808496471007
24,2015-01-25,1044.6337290002034,74070.33220534388,-5261.327610759957,7284.469389046132,1044.6337290002034,1044.6337290002034,-0.09637862390259869,-0.09637862390259869,-0.09637862390259869,0.0006093948343932189,0.0006093948343932189,0.0006093948343932189,-0.0969880187369919,-0.0969880187369919,-0.0969880187369919,0.0,0.0,0.0,943.9533677169236
25,2015-01-26,1045.9300246440657,74070.33220534388,-5195.173417680458,6856.3026902944375,1045.9300246440657,1045.9300246440657,-0.09431443350897278,-0.09431443350897278,-0.09431443350897278,0.00224779597974296,0.00224779597974296,0.00224779597974296,-0.09656222948871575,-0.09656222948871575,-0.09656222948871575,0.0,0.0,0.0,947.2837268797348
26,2015-01-27,1047.2279058051868,74070.33220534388,-5176.508749286702,6920.303842307927,1047.2279058051868,1047.2279058051868,-0.09681283696409233,-0.09681283696409233,-0.09681283696409233,-0.0017329910769083557,-0.0017329910769083557,-0.0017329910769083557,-0.09507984588718399,-0.09507984588718399,-0.09507984588718399,0.0,0.0,0.0,945.8428012962213
27,2015-01-28,1048.527374365552,74070.33220534388,-5254.225455353657,7245.6740018157725,1048.527374365552,1048.527374365552,-0.09112542107157676,-0.09112542107157676,-0.09112542107157676,0.0013956591508829676,0.0013956591508829676,0.0013956591508829676,-0.09252108022245972,-0.09252108022245972,-0.09252108022245972,0.0,0.0,0.0,952.9798758714164
28,2015-01-29,1049.8284322092363,74070.33220534388,-5213.36213504027,7261.295196102918,1049.8284322092363,1049.8284322092363,-0.0900803881547894,-0.0900803881547894,-0.0900803881547894,-0.001195440999995057,-0.001195440999995057,-0.001195440999995057,-0.08888494715479435,-0.08888494715479435,-0.08888494715479435,0.0,0.0,0.0,955.2594795398943
29,2015-01-30,1051.131081222411,74070.33220534388,-5698.407286882778,7161.688197360882,1051.131081222411,1051.131081222411,-0.08504872433451326,-0.08504872433451326,-0.08504872433451326,-0.000859570383506391,-0.000859570383506391,-0.000859570383506391,-0.08418915395100687,-0.08418915395100687,-0.08418915395100687,0.0,0.0,0.0,961.7337236560872
30,2015-01-31,1052.4353232933413,74070.33220534388,-5378.9685931701715,7203.951617535329,1052.4353232933413,1052.4353232933413,-0.07893441676969022,-0.07893441676969022,-0.07893441676969022,-0.0004648475046170145,-0.0004648475046170145,-0.0004648475046170145,-0.0784695692650732,-0.0784695692650732,-0.0784695692650732,0.0,0.0,0.0,969.361954861361
31,2015-02-01,1053.7411603123885,74070.33220534388,-5099.687337912791,7594.3923207055195,1053.7411603123885,1053.7411603123885,-0.07116988993645046,-0.07116988993645046,-0.07116988993645046,0.0006093948343988086,0.0006093948343988086,0.0006093948343988086,-0.07177928477084927,-0.07177928477084927,-0.07177928477084927,0.0,0.0,0.0,978.7465179114482
32,2015-02-02,1055.0485941720171,74070.33220534388,-5498.617897494044,7433.430861333966,1055.0485941720171,1055.0485941720171,-0.06193949800169539,-0.06193949800169539,-0.06193949800169539,0.0022477959797462107,0.0022477959797462107,0.0022477959797462107,-0.0641872939814416,-0.0641872939814416,-0.0641872939814416,0.0,0.0,0.0,989.6994138816079
33,2015-02-03,1056.35762676679,74070.33220534388,-5635.008017989538,6806.832969074398,1056.35762676679,1056.35762676679,-0.05750981306221828,-0.05750981306221828,-0.05750981306221828,-0.0017329910769066149,-0.0017329910769066149,-0.0017329910769066149,-0.05577682198531166,-0.05577682198531166,-0.05577682198531166,0.0,0.0,0.0,995.6066971245833
34,2015-02-04,1057.6682599933754,74070.33220534388,-5236.951633050453,6778.186363571587,1057.6682599933754,1057.6682599933754,-0.045247689199919734,-0.045247689199919734,-0.045247689199919734,0.0013956591508826463,0.0013956591508826463,0.0013956591508826463,-0.04664334835080238,-0.04664334835080238,-0.04664334835080238,0.0,0.0,0.0,1009.8112152885752
35,2015-02-05,1058.9804957505457,74070.33220534388,-5036.230673004362,7840.357633294108,1058.9804957505457,1058.9804957505457,-0.03808781388003795,-0.03808781388003795,-0.03808781388003795,-0.0011954409999941564,-0.0011954409999941564,-0.0011954409999941564,-0.036892372880043794,-0.036892372880043794,-0.036892372880043794,0.0,0.0,0.0,1018.6462437258086
36,2015-02-06,1060.2943359391797,74070.33220534388,-5318.205613985029,7418.703714498068,1060.2943359391797,1060.2943359391797,-0.027496550422666688,-0.027496550422666688,-0.027496550422666688,-0.0008595703835091564,-0.0008595703835091564,-0.0008595703835091564,-0.026636980039157532,-0.026636980039157532,-0.026636980039157532,0.0,0.0,0.0,1031.1398992681602
37,2015-02-07,1061.6097824622689,74070.33220534388,-5592.905910426297,7634.301489784209,1061.6097824622689,1061.6097824622689,-0.01646011010332126,-0.01646011010332126,-0.01646011010332126,-0.0004648475046024924,-0.0004648475046024924,-0.0004648475046024924,-0.01599526259871877,-0.01599526259871877,-0.01599526259871877,0.0,0.0,0.0,1044.135568556177
